case_id,abm,model_id,provider,model,evidence_mode,summarization_mode,text_source_mode,prompt_variant,enabled_style_features,summarizers,repetition,request_count,status,failed_plot_indices,error_codes,context_prompt_path
fauna::qwen3_5_27b::plot::none::example::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,none,full_text_only,example,example,,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/example.txt
fauna::qwen3_5_27b::plot::none::example::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,none,full_text_only,example,example,,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/example.txt
fauna::qwen3_5_27b::plot::none::role+example::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,none,full_text_only,role+example,role|example,,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+example.txt
fauna::qwen3_5_27b::plot::none::role+example::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,none,full_text_only,role+example,role|example,,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+example.txt
fauna::qwen3_5_27b::plot::none::role+example::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,none,full_text_only,role+example,role|example,,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+example.txt
fauna::qwen3_5_27b::plot::none::role+insights::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,none,full_text_only,role+insights,role|insights,,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+insights.txt
fauna::qwen3_5_27b::plot::none::role+insights::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,none,full_text_only,role+insights,role|insights,,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+insights.txt
fauna::qwen3_5_27b::plot::none::role+insights::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,none,full_text_only,role+insights,role|insights,,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+insights.txt
fauna::qwen3_5_27b::plot::none::insights+example::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,none,full_text_only,insights+example,insights|example,,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights+example.txt
fauna::qwen3_5_27b::plot::none::insights+example::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,none,full_text_only,insights+example,insights|example,,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights+example.txt
fauna::qwen3_5_27b::plot::none::insights+example::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,none,full_text_only,insights+example,insights|example,,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights+example.txt
fauna::qwen3_5_27b::plot::none::all_three::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,none,full_text_only,all_three,role|insights|example,,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/all_three.txt
fauna::qwen3_5_27b::plot::none::all_three::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,none,full_text_only,all_three,role|insights|example,,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/all_three.txt
fauna::qwen3_5_27b::plot::none::all_three::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,none,full_text_only,all_three,role|insights|example,,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/all_three.txt
fauna::qwen3_5_27b::plot::bart::none::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,none,,bart,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/none.txt
fauna::qwen3_5_27b::plot::bart::none::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,none,,bart,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/none.txt
fauna::qwen3_5_27b::plot::bart::none::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,none,,bart,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/none.txt
fauna::qwen3_5_27b::plot::bart::role::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,role,role,bart,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role.txt
fauna::qwen3_5_27b::plot::bart::role::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,role,role,bart,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role.txt
fauna::qwen3_5_27b::plot::bart::role::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,role,role,bart,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role.txt
fauna::qwen3_5_27b::plot::bart::insights::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,insights,insights,bart,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights.txt
fauna::qwen3_5_27b::plot::bart::insights::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,insights,insights,bart,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights.txt
fauna::qwen3_5_27b::plot::bart::insights::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,insights,insights,bart,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights.txt
fauna::qwen3_5_27b::plot::bart::example::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,example,example,bart,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/example.txt
fauna::qwen3_5_27b::plot::bart::example::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,example,example,bart,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/example.txt
fauna::qwen3_5_27b::plot::bart::example::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,example,example,bart,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/example.txt
fauna::qwen3_5_27b::plot::bart::role+example::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,role+example,role|example,bart,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+example.txt
fauna::qwen3_5_27b::plot::bart::role+example::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,role+example,role|example,bart,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+example.txt
fauna::qwen3_5_27b::plot::bart::role+example::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,role+example,role|example,bart,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+example.txt
fauna::qwen3_5_27b::plot::bart::role+insights::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,role+insights,role|insights,bart,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+insights.txt
fauna::qwen3_5_27b::plot::bart::role+insights::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,role+insights,role|insights,bart,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+insights.txt
fauna::qwen3_5_27b::plot::bart::role+insights::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,role+insights,role|insights,bart,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+insights.txt
fauna::qwen3_5_27b::plot::bart::insights+example::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,insights+example,insights|example,bart,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights+example.txt
fauna::qwen3_5_27b::plot::bart::insights+example::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,insights+example,insights|example,bart,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights+example.txt
fauna::qwen3_5_27b::plot::bart::insights+example::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,insights+example,insights|example,bart,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights+example.txt
fauna::qwen3_5_27b::plot::bart::all_three::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,all_three,role|insights|example,bart,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/all_three.txt
fauna::qwen3_5_27b::plot::bart::all_three::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,all_three,role|insights|example,bart,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/all_three.txt
fauna::qwen3_5_27b::plot::bart::all_three::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bart,summary_only,all_three,role|insights|example,bart,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/all_three.txt
fauna::qwen3_5_27b::plot::bert::none::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,none,,bert,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/none.txt
fauna::qwen3_5_27b::plot::bert::none::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,none,,bert,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/none.txt
fauna::qwen3_5_27b::plot::bert::none::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,none,,bert,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/none.txt
fauna::qwen3_5_27b::plot::bert::role::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,role,role,bert,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role.txt
fauna::qwen3_5_27b::plot::bert::role::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,role,role,bert,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role.txt
fauna::qwen3_5_27b::plot::bert::role::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,role,role,bert,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role.txt
fauna::qwen3_5_27b::plot::bert::insights::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,insights,insights,bert,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights.txt
fauna::qwen3_5_27b::plot::bert::insights::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,insights,insights,bert,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights.txt
fauna::qwen3_5_27b::plot::bert::insights::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,insights,insights,bert,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights.txt
fauna::qwen3_5_27b::plot::bert::example::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,example,example,bert,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/example.txt
fauna::qwen3_5_27b::plot::bert::example::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,example,example,bert,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/example.txt
fauna::qwen3_5_27b::plot::bert::example::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,example,example,bert,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/example.txt
fauna::qwen3_5_27b::plot::bert::role+example::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,role+example,role|example,bert,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+example.txt
fauna::qwen3_5_27b::plot::bert::role+example::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,role+example,role|example,bert,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+example.txt
fauna::qwen3_5_27b::plot::bert::role+example::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,role+example,role|example,bert,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+example.txt
fauna::qwen3_5_27b::plot::bert::role+insights::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,role+insights,role|insights,bert,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+insights.txt
fauna::qwen3_5_27b::plot::bert::role+insights::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,role+insights,role|insights,bert,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+insights.txt
fauna::qwen3_5_27b::plot::bert::role+insights::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,role+insights,role|insights,bert,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+insights.txt
fauna::qwen3_5_27b::plot::bert::insights+example::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,insights+example,insights|example,bert,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights+example.txt
fauna::qwen3_5_27b::plot::bert::insights+example::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,insights+example,insights|example,bert,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights+example.txt
fauna::qwen3_5_27b::plot::bert::insights+example::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,insights+example,insights|example,bert,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights+example.txt
fauna::qwen3_5_27b::plot::bert::all_three::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,all_three,role|insights|example,bert,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/all_three.txt
fauna::qwen3_5_27b::plot::bert::all_three::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,all_three,role|insights|example,bert,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/all_three.txt
fauna::qwen3_5_27b::plot::bert::all_three::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,bert,summary_only,all_three,role|insights|example,bert,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/all_three.txt
fauna::qwen3_5_27b::plot::t5::none::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,none,,t5,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/none.txt
fauna::qwen3_5_27b::plot::t5::none::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,none,,t5,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/none.txt
fauna::qwen3_5_27b::plot::t5::none::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,none,,t5,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/none.txt
fauna::qwen3_5_27b::plot::t5::role::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,role,role,t5,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role.txt
fauna::qwen3_5_27b::plot::t5::role::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,role,role,t5,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role.txt
fauna::qwen3_5_27b::plot::t5::role::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,role,role,t5,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role.txt
fauna::qwen3_5_27b::plot::t5::insights::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,insights,insights,t5,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights.txt
fauna::qwen3_5_27b::plot::t5::insights::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,insights,insights,t5,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights.txt
fauna::qwen3_5_27b::plot::t5::insights::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,insights,insights,t5,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/insights.txt
fauna::qwen3_5_27b::plot::t5::example::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,example,example,t5,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/example.txt
fauna::qwen3_5_27b::plot::t5::example::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,example,example,t5,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/example.txt
fauna::qwen3_5_27b::plot::t5::example::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,example,example,t5,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/example.txt
fauna::qwen3_5_27b::plot::t5::role+example::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,role+example,role|example,t5,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+example.txt
fauna::qwen3_5_27b::plot::t5::role+example::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,role+example,role|example,t5,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+example.txt
fauna::qwen3_5_27b::plot::t5::role+example::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,role+example,role|example,t5,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+example.txt
fauna::qwen3_5_27b::plot::t5::role+insights::rep1,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,role+insights,role|insights,t5,1,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+insights.txt
fauna::qwen3_5_27b::plot::t5::role+insights::rep2,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,role+insights,role|insights,t5,2,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+insights.txt
fauna::qwen3_5_27b::plot::t5::role+insights::rep3,fauna,qwen3_5_27b,openrouter,qwen/qwen3.5-27b,plot,t5,summary_only,role+insights,role|insights,t5,3,15,ok,,,results/mistral_all_abms_chain/03_doe_smoke_latest/runs/run_20260309_104629_847610/10_shared/fauna/03_prompts/context/role+insights.txt
