LLM,Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
qwen/qwen3.5-27b,bert,plot+table,off,on,off,0.047347,0.305583,0.547603,0.15588,0.212648,14.463445
qwen/qwen3.5-27b,longformer_ext,plot+table,off,on,off,0.044923,0.19504,0.468604,0.138967,0.194939,35.836537
qwen/qwen3.5-27b,none,plot+table,off,on,off,0.043334,0.318347,0.337363,0.149194,0.165227,35.933329
qwen/qwen3.5-27b,t5,plot+table,off,on,off,0.018416,0.124412,0.347032,0.118993,0.182648,45.410283
qwen/qwen3.5-27b,bart,plot,off,off,on,0.018524,0.222273,0.408163,0.102389,0.193878,25.560569
qwen/qwen3.5-27b,bert,plot,off,off,on,0.006599,0.247621,0.351731,0.071228,0.14406,17.314848
qwen/qwen3.5-27b,longformer_ext,plot,off,off,on,0.014009,0.213562,0.36612,0.071233,0.174863,4.120691
qwen/qwen3.5-27b,none,plot,off,off,on,0.006991,0.233423,0.188312,0.053931,0.088961,29.527717
qwen/qwen3.5-27b,t5,plot,off,off,on,0.013032,0.159199,0.342412,0.078125,0.18677,31.434889
qwen/qwen3.5-27b,bart,plot,off,off,on,0.027842,0.196152,0.436817,0.125196,0.205928,28.520031
qwen/qwen3.5-27b,bert,plot,off,off,on,0.032738,0.319741,0.50738,0.147874,0.186347,41.821075
qwen/qwen3.5-27b,longformer_ext,plot,off,off,on,0.02993,0.270914,0.524876,0.114713,0.179104,14.290503
qwen/qwen3.5-27b,none,plot,off,off,on,0.021511,0.28832,0.22607,0.104609,0.125449,37.856703
qwen/qwen3.5-27b,t5,plot,off,off,on,0.021361,0.175489,0.418605,0.093333,0.196013,31.622135
qwen/qwen3.5-27b,bart,plot,off,off,on,0.017109,0.159159,0.415842,0.127894,0.189219,37.423441
qwen/qwen3.5-27b,bert,plot,off,off,on,0.093087,0.317884,0.618619,0.196992,0.249249,31.009456
qwen/qwen3.5-27b,longformer_ext,plot,off,off,on,0.019794,0.205698,0.47619,0.103053,0.167619,39.334792
qwen/qwen3.5-27b,none,plot,off,off,on,0.054322,0.360367,0.37116,0.174404,0.181191,41.380384
qwen/qwen3.5-27b,t5,plot,off,off,on,0.005339,0.101515,0.30012,0.101083,0.141657,53.221648
qwen/qwen3.5-27b,bart,table,off,off,on,0.010755,0.213603,0.380165,0.076285,0.161983,18.677448
qwen/qwen3.5-27b,bert,table,off,off,on,0.009715,0.248794,0.314088,0.069391,0.12933,15.747365
qwen/qwen3.5-27b,longformer_ext,table,off,off,on,0.013353,0.261587,0.362851,0.075758,0.161987,29.444515
qwen/qwen3.5-27b,none,table,off,off,on,0.004244,0.212933,0.150521,0.042731,0.071875,32.682336
qwen/qwen3.5-27b,t5,table,off,off,on,0.015331,0.198128,0.367776,0.080844,0.185639,18.393406
qwen/qwen3.5-27b,bart,table,off,off,on,0.021593,0.182806,0.424635,0.117073,0.194489,24.848333
qwen/qwen3.5-27b,bert,table,off,off,on,0.023997,0.2671,0.391986,0.097731,0.163763,17.780652
qwen/qwen3.5-27b,longformer_ext,table,off,off,on,0.020002,0.248218,0.455224,0.089776,0.186567,20.436585
qwen/qwen3.5-27b,none,table,off,off,on,0.013822,0.272118,0.222888,0.083888,0.117099,35.238544
qwen/qwen3.5-27b,t5,table,off,off,on,0.015907,0.179681,0.35924,0.090121,0.183074,41.472418
qwen/qwen3.5-27b,bart,table,off,off,on,0.028026,0.161682,0.374582,0.145251,0.209588,39.109078
qwen/qwen3.5-27b,bert,table,off,off,on,0.048148,0.304686,0.545215,0.152016,0.20198,8.402632
qwen/qwen3.5-27b,longformer_ext,table,off,off,on,0.044443,0.208368,0.460094,0.139229,0.191549,41.270053
qwen/qwen3.5-27b,none,table,off,off,on,0.03756,0.319597,0.3102,0.135192,0.152997,34.883851
qwen/qwen3.5-27b,t5,table,off,off,on,0.010074,0.113598,0.310857,0.09622,0.166857,35.840395
qwen/qwen3.5-27b,bart,plot+table,off,off,on,0.029555,0.197691,0.407346,0.093802,0.200334,26.173663
qwen/qwen3.5-27b,bert,plot+table,off,off,on,0.01381,0.282568,0.363336,0.081059,0.151941,18.079783
qwen/qwen3.5-27b,longformer_ext,plot+table,off,off,on,0.013151,0.229682,0.367847,0.060109,0.174387,34.327427
qwen/qwen3.5-27b,none,plot+table,off,off,on,0.005854,0.222779,0.169551,0.050484,0.083309,33.700942
qwen/qwen3.5-27b,t5,plot+table,off,off,on,0.020389,0.194276,0.378092,0.106383,0.187279,42.65206
qwen/qwen3.5-27b,bart,plot+table,off,off,on,0.017527,0.172133,0.413681,0.091503,0.188925,39.795533
qwen/qwen3.5-27b,bert,plot+table,off,off,on,0.02828,0.272444,0.41953,0.121377,0.179024,32.491144
qwen/qwen3.5-27b,longformer_ext,plot+table,off,off,on,0.032963,0.233571,0.485237,0.110682,0.195122,44.477321
qwen/qwen3.5-27b,none,plot+table,off,off,on,0.018828,0.260896,0.221929,0.09121,0.115588,40.587925
qwen/qwen3.5-27b,t5,plot+table,off,off,on,0.013085,0.161438,0.367893,0.080537,0.183946,33.575676
qwen/qwen3.5-27b,bart,plot+table,off,off,on,0.023885,0.156163,0.374165,0.138393,0.200445,41.934275
qwen/qwen3.5-27b,bert,plot+table,off,off,on,0.066041,0.306562,0.561845,0.162351,0.22362,16.702422
qwen/qwen3.5-27b,longformer_ext,plot+table,off,off,on,0.004351,0.114111,0.284861,0.043912,0.111554,39.325527
qwen/qwen3.5-27b,none,plot+table,off,off,on,0.040152,0.319732,0.326105,0.142575,0.162771,41.57062
qwen/qwen3.5-27b,t5,plot+table,off,off,on,0.004958,0.082836,0.258454,0.079903,0.144928,53.8725
qwen/qwen3.5-27b,bart,plot,on,off,on,0.038548,0.212915,0.427184,0.087662,0.171521,30.261295
qwen/qwen3.5-27b,bert,plot,on,off,on,0.012554,0.273548,0.367647,0.086743,0.147059,12.719389
qwen/qwen3.5-27b,longformer_ext,plot,on,off,on,0.012985,0.165594,0.337143,0.048711,0.12,16.670882
qwen/qwen3.5-27b,none,plot,on,off,on,0.008836,0.219433,0.169213,0.051734,0.081081,35.360567
qwen/qwen3.5-27b,t5,plot,on,off,on,0.015991,0.155756,0.375,0.070588,0.160156,32.152184
qwen/qwen3.5-27b,bart,plot,on,off,on,0.018966,0.17003,0.441077,0.114865,0.198653,50.470495
qwen/qwen3.5-27b,bert,plot,on,off,on,0.022264,0.285624,0.484525,0.124064,0.18143,34.37413
qwen/qwen3.5-27b,longformer_ext,plot,on,off,on,0.052585,0.242934,0.472441,0.131579,0.181102,45.524474
qwen/qwen3.5-27b,none,plot,on,off,on,0.025742,0.316815,0.28431,0.121361,0.131094,47.832203
qwen/qwen3.5-27b,t5,plot,on,off,on,0.007102,0.119448,0.314563,0.077973,0.170874,63.222273
qwen/qwen3.5-27b,bart,plot,on,off,on,0.004351,0.085749,0.289963,0.111801,0.166047,36.889596
qwen/qwen3.5-27b,bert,plot,on,off,on,0.078672,0.303327,0.57473,0.174383,0.223421,29.038493
qwen/qwen3.5-27b,longformer_ext,plot,on,off,on,0.027396,0.18369,0.439842,0.114625,0.171598,34.937391
qwen/qwen3.5-27b,none,plot,on,off,on,0.048166,0.334434,0.390884,0.167934,0.174724,41.209141
qwen/qwen3.5-27b,t5,plot,on,off,on,0.003046,0.095452,0.27216,0.082603,0.134831,41.435148
qwen/qwen3.5-27b,bart,table,on,off,on,0.019276,0.204758,0.409375,0.056426,0.165625,29.489799
qwen/qwen3.5-27b,bert,table,on,off,on,0.007622,0.250972,0.282401,0.057377,0.11869,12.775
qwen/qwen3.5-27b,longformer_ext,table,on,off,on,0.011618,0.228536,0.3361,0.047817,0.13278,16.581456
qwen/qwen3.5-27b,none,table,on,off,on,0.004102,0.185644,0.13478,0.03879,0.062774,31.584237
qwen/qwen3.5-27b,t5,table,on,off,on,0.013655,0.165839,0.339315,0.032733,0.153344,31.541078
qwen/qwen3.5-27b,bart,table,on,off,on,0.016672,0.169442,0.382456,0.084507,0.185965,40.615706
qwen/qwen3.5-27b,bert,table,on,off,on,0.015185,0.252582,0.43487,0.086345,0.154309,28.062456
qwen/qwen3.5-27b,longformer_ext,table,on,off,on,0.010386,0.247706,0.402878,0.0625,0.172662,35.985455
qwen/qwen3.5-27b,none,table,on,off,on,0.011373,0.275621,0.250751,0.078888,0.107357,39.546001
qwen/qwen3.5-27b,t5,table,on,off,on,0.006563,0.113532,0.279851,0.06367,0.13806,39.087619
qwen/qwen3.5-27b,bart,table,on,off,on,0.012186,0.122718,0.326161,0.106697,0.165345,23.626565
qwen/qwen3.5-27b,bert,table,on,off,on,0.044233,0.294332,0.504905,0.128356,0.184434,21.043774
qwen/qwen3.5-27b,longformer_ext,table,on,off,on,0.009848,0.105224,0.323529,0.0839,0.160633,28.924675
qwen/qwen3.5-27b,none,table,on,off,on,0.032999,0.302667,0.299258,0.121887,0.136123,32.071976
qwen/qwen3.5-27b,t5,table,on,off,on,0.003761,0.101225,0.277974,0.063754,0.124853,32.695746
qwen/qwen3.5-27b,bart,plot+table,on,off,on,0.013973,0.191469,0.427536,0.087273,0.166667,27.627641
qwen/qwen3.5-27b,bert,plot+table,on,off,on,0.012559,0.280098,0.353039,0.073394,0.136553,13.262634
qwen/qwen3.5-27b,longformer_ext,plot+table,on,off,on,0.016149,0.219553,0.379679,0.058981,0.160428,16.272705
qwen/qwen3.5-27b,none,plot+table,on,off,on,0.006349,0.234295,0.170725,0.048723,0.078029,34.293252
qwen/qwen3.5-27b,t5,plot+table,on,off,on,0.023714,0.193704,0.402174,0.087273,0.177536,33.71081
qwen/qwen3.5-27b,bart,plot+table,on,off,on,0.013963,0.147079,0.327338,0.090253,0.172662,40.048485
qwen/qwen3.5-27b,bert,plot+table,on,off,on,0.015969,0.27283,0.427481,0.110899,0.164122,25.249744
qwen/qwen3.5-27b,longformer_ext,plot+table,on,off,on,0.020622,0.211847,0.377113,0.088657,0.153446,17.055498
qwen/qwen3.5-27b,none,plot+table,on,off,on,0.013217,0.277182,0.255336,0.094146,0.113043,43.127049
qwen/qwen3.5-27b,t5,plot+table,on,off,on,0.004259,0.110185,0.32233,0.081871,0.151456,49.77397
qwen/qwen3.5-27b,bart,plot+table,on,off,on,0.006618,0.095736,0.286756,0.099878,0.170109,42.01625
qwen/qwen3.5-27b,bert,plot+table,on,off,on,0.045667,0.257193,0.528037,0.137285,0.200935,16.842444
qwen/qwen3.5-27b,longformer_ext,plot+table,on,off,on,0.039687,0.204292,0.470156,0.114075,0.174472,35.637729
qwen/qwen3.5-27b,none,plot+table,on,off,on,0.04618,0.333094,0.373187,0.156079,0.161779,40.47192
qwen/qwen3.5-27b,t5,plot+table,on,off,on,0.006241,0.102372,0.302381,0.076372,0.142857,37.806951
qwen/qwen3.5-27b,bart,plot,on,on,off,0.017734,0.187941,0.381125,0.080146,0.163339,27.959595
qwen/qwen3.5-27b,bert,plot,on,on,off,0.020037,0.274672,0.411163,0.091333,0.154419,20.572202
qwen/qwen3.5-27b,longformer_ext,plot,on,on,off,0.020511,0.192925,0.373293,0.070015,0.182094,10.872149
qwen/qwen3.5-27b,none,plot,on,on,off,0.009944,0.226225,0.196503,0.055983,0.092308,37.297417
qwen/qwen3.5-27b,t5,plot,on,on,off,0.012706,0.179936,0.423892,0.065764,0.157996,43.585909
qwen/qwen3.5-27b,bart,plot,on,on,off,0.01671,0.138655,0.363309,0.061372,0.179856,48.63209
qwen/qwen3.5-27b,bert,plot,on,on,off,0.020054,0.254228,0.453564,0.097403,0.168467,38.188069
qwen/qwen3.5-27b,longformer_ext,plot,on,on,off,0.051268,0.238353,0.435308,0.106667,0.176542,44.227066
qwen/qwen3.5-27b,none,plot,on,on,off,0.021567,0.298362,0.304269,0.1,0.125341,48.853176
qwen/qwen3.5-27b,t5,plot,on,on,off,0.009534,0.154485,0.375,0.096774,0.167857,46.469392
qwen/qwen3.5-27b,bart,plot,on,on,off,0.014036,0.122375,0.340723,0.123977,0.186698,39.90125
qwen/qwen3.5-27b,bert,plot,on,on,off,0.04068,0.256573,0.499614,0.12973,0.198921,19.105685
qwen/qwen3.5-27b,longformer_ext,plot,on,on,off,0.036526,0.198645,0.486085,0.156134,0.198516,38.449376
qwen/qwen3.5-27b,none,plot,on,on,off,0.043246,0.346899,0.370878,0.154851,0.162586,39.039184
qwen/qwen3.5-27b,t5,plot,on,on,off,0.005387,0.11073,0.300606,0.097205,0.140606,49.59136
qwen/qwen3.5-27b,bart,table,on,on,off,0.019524,0.214443,0.372159,0.065527,0.164773,26.205215
qwen/qwen3.5-27b,bert,table,on,on,off,0.00543,0.247222,0.267788,0.045337,0.109961,14.962191
qwen/qwen3.5-27b,longformer_ext,table,on,on,off,0.013167,0.242711,0.391061,0.06047,0.149721,35.700131
qwen/qwen3.5-27b,none,table,on,on,off,0.004039,0.185972,0.12684,0.035946,0.060606,31.828394
